# Created by Octave 3.6.4, Fri Nov 08 11:30:04 2013 CET <paul@localhost.localdomain>
# name: data
# type: matrix
# rows: 160
# columns: 2
 0.1428571428571428 36
 0.0913136027496938 1
 0.09162779453582978 0.9473684210526315
 0.09258122722492465 0.8947368421052631
 0.09420740127526542 0.8421052631578947
 0.0965653964368149 0.7894736842105263
 0.09974530829460261 0.7368421052631579
 0.1038771573474996 0.6842105263157894
 0.1052631578947368 0.6698539699688932
 0.10919897188109 0.631578947368421
 0.1159560458879084 0.5789473684210527
 0.1245078103555145 0.5263157894736842
 0.1354094586878274 0.4736842105263158
 0.1495015556318074 0.4210526315789473
 0.1578947368421053 0.3957984697811463
 0.1683288743600124 0.3684210526315789
 0.1942172275762504 0.3157894736842105
 0.2105263157894737 0.2902859064648915
 0.2316730212657229 0.2631578947368421
 0.2631578947368421 0.2316730212657229
 0.2902859064648915 0.2105263157894737
 0.3157894736842105 0.1942172275762504
 0.3684210526315789 0.1683288743600124
 0.3957984697811463 0.1578947368421053
 0.4210526315789473 0.1495015556318074
 0.4736842105263158 0.1354094586878274
 0.5263157894736842 0.1245078103555145
 0.5789473684210527 0.1159560458879084
 0.631578947368421 0.10919897188109
 0.6698539699688932 0.1052631578947368
 0.6842105263157894 0.1038771573474996
 0.7368421052631579 0.09974530829460261
 0.7894736842105263 0.0965653964368149
 0.8421052631578947 0.09420740127526542
 0.8947368421052631 0.09258122722492465
 0.9473684210526315 0.09162779453582978
 1 0.0913136027496938
 0.2857142857142857 32
 0.1846236694486075 1
 0.1852742746974624 0.9473684210526315
 0.1872485730060965 0.8947368421052631
 0.1906159346603107 0.8421052631578947
 0.1954986976623156 0.7894736842105263
 0.2020834253250474 0.7368421052631579
 0.2105263157894737 0.6848786685760241
 0.2106426108506997 0.6842105263157894
 0.2218651405251815 0.631578947368421
 0.2360629194443219 0.5789473684210527
 0.254031652827605 0.5263157894736842
 0.2631578947368421 0.5042941177139095
 0.2774471389056322 0.4736842105263158
 0.3081513043370651 0.4210526315789473
 0.3157894736842105 0.4101715809233122
 0.3502084544345846 0.3684210526315789
 0.3684210526315789 0.3502084544345846
 0.4101715809233122 0.3157894736842105
 0.4210526315789473 0.3081513043370651
 0.4736842105263158 0.2774471389056322
 0.5042941177139095 0.2631578947368421
 0.5263157894736842 0.254031652827605
 0.5789473684210527 0.2360629194443219
 0.631578947368421 0.2218651405251815
 0.6842105263157894 0.2106426108506997
 0.6848786685760241 0.2105263157894737
 0.7368421052631579 0.2020834253250474
 0.7894736842105263 0.1954986976623156
 0.8421052631578947 0.1906159346603107
 0.8947368421052631 0.1872485730060965
 0.9473684210526315 0.1852742746974624
 1 0.1846236694486075
 0.4285714285714285 28
 0.2822082519570958 1
 0.2832493765286397 0.9473684210526315
 0.2864087277393689 0.8947368421052631
 0.2917973146984314 0.8421052631578947
 0.2996109075757715 0.7894736842105263
 0.3101480524553447 0.7368421052631579
 0.3157894736842105 0.7146384747650876
 0.3242082168246317 0.6842105263157894
 0.3424634298591963 0.631578947368421
 0.3655583546492728 0.5789473684210527
 0.3684210526315789 0.573457391697847
 0.3962518463929306 0.5263157894736842
 0.4210526315789473 0.4921241298514225
 0.4365486874866153 0.4736842105263158
 0.4736842105263158 0.4365486874866153
 0.4921241298514225 0.4210526315789473
 0.5263157894736842 0.3962518463929306
 0.573457391697847 0.3684210526315789
 0.5789473684210527 0.3655583546492728
 0.631578947368421 0.3424634298591963
 0.6842105263157894 0.3242082168246317
 0.7146384747650876 0.3157894736842105
 0.7368421052631579 0.3101480524553447
 0.7894736842105263 0.2996109075757715
 0.8421052631578947 0.2917973146984314
 0.8947368421052631 0.2864087277393689
 0.9473684210526315 0.2832493765286397
 1 0.2822082519570958
 0.5714285714285714 24
 0.3875759078725895 1
 0.3891082760818206 0.9473684210526315
 0.3937583338073217 0.8947368421052631
 0.4016894686344433 0.8421052631578947
 0.4131898228210267 0.7894736842105263
